"date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","no","no2","nox","so2",".before","poblacio_total","incidencia_1000"
2012-02-29,1.6,225.8,55.9,992.8,198.6,13.3,20.9,7.9,0,NA,NA,NA,NA,29,15765,1.8395179194418
2012-03-01,1.8,277.1,73,995.1,210.3,11.5,16.5,7.2,0,1,64,NA,4,18,11281,1.5956032266643
2012-03-02,2.1,235.1,73.2,994.7,154.4,12.1,17.6,9.1,0,1,25,NA,6,6,4723,1.27037899640059
2012-03-03,2,273,57.6,991.1,143.2,13.7,19.5,10.5,0,1,50,NA,7,7,6298,1.11146395681169
2012-03-04,2.4,258.6,51,992,222.2,10.7,16.3,7,0,1,28,NA,6,31,17910,1.73087660524846
2012-03-05,1.7,246.3,43.8,991,196,9.2,15.4,4.9,0,1,23,NA,5,26,16605,1.56579343571214
2012-03-06,1.7,259.7,52.4,994.8,218,9.7,17.5,4.4,0,1,34,NA,NA,21,12433,1.68905332582643
2012-03-07,2.1,241.2,56.4,992.5,217.5,9.9,16.7,5.7,0,1,20,NA,1,30,18046,1.66241826443533
2012-03-08,1.8,221.4,50.4,998.8,196.6,9.4,16.3,5.4,0,1,47,NA,1,16,9353,1.71068106489896
2012-03-09,1.8,270.3,48,998.8,228.3,10.8,18.2,5.6,0,1,39,NA,1,0,0,NA
2012-03-10,1.4,273,45.9,993.4,229.3,13.4,20.8,7.1,0,1,31,NA,1,5,3833,1.30446125750065
2012-03-11,1.6,250.9,48,993.5,228.9,13.8,21.5,8.2,0,1,51,NA,2,17,11991,1.41772996413977
2012-03-12,1.6,205.5,49.8,993.7,229.1,15.1,23.2,9.8,0,1,25,NA,4,10,8487,1.17827265229174
2012-03-13,1.4,211.2,50.8,995.3,228.7,14.6,22.2,9.3,0,3,73,NA,5,16,11568,1.38312586445367
2012-03-14,1,202.2,59.9,997.1,230.8,12.7,21,7.6,0,2,63,NA,5,24,15087,1.590773513621
2012-03-15,1.6,212.8,52,995.6,244.2,12.6,21.9,6.6,0,1,28,NA,7,16,8795,1.81921546333144
2012-03-16,1.2,206.9,68,991.6,235.5,12.3,21.2,6.4,0,2,58,NA,1,14,8672,1.61439114391144
2012-03-17,2.3,276,55.6,990.6,247.1,12.9,18.3,7.2,0,1,20,NA,1,7,5534,1.26490784242862
2012-03-18,2.2,219,60.2,997.2,200.8,9.9,15.8,6.1,0.1,1,15,NA,1,21,10609,1.97945140918088
2012-03-19,2,144.5,59.8,997.2,209.2,10.2,16.6,4.7,2.5,1,19,NA,1,20,10675,1.87353629976581
